     H        R_TMM     R_Theory
0.4214       0.2112       0.2103
0.4224       0.2080       0.2070
0.4234       0.2047       0.2037
0.4244       0.2014       0.2005
0.4254       0.1981       0.1972
0.4264       0.1949       0.1939
0.4274       0.1916       0.1907
0.4284       0.1884       0.1874
0.4294       0.1851       0.1842
0.4304       0.1819       0.1809
0.4314       0.1786       0.1777
0.4324       0.1754       0.1745
0.4334       0.1722       0.1712
0.4344       0.1690       0.1680
0.4354       0.1658       0.1649
0.4364       0.1626       0.1617
0.4374       0.1595       0.1585
0.4384       0.1563       0.1554
0.4394       0.1532       0.1523
0.4404       0.1501       0.1491
0.4414       0.1470       0.1461
0.4424       0.1439       0.1430
0.4434       0.1409       0.1399
0.4444       0.1378       0.1369
0.4454       0.1348       0.1339
0.4464       0.1319       0.1309
0.4474       0.1289       0.1280
0.4484       0.1260       0.1251
0.4494       0.1231       0.1222
0.4505       0.1202       0.1193
0.4515       0.1174       0.1165
0.4525       0.1146       0.1137
0.4535       0.1118       0.1109
0.4545       0.1091       0.1082
0.4555       0.1064       0.1055
0.4565       0.1037       0.1029
0.4575       0.1011       0.1003
0.4585       0.0985       0.0977
0.4595       0.0960       0.0952
0.4605       0.0935       0.0927
0.4615       0.0910       0.0902
0.4625       0.0886       0.0878
0.4635       0.0862       0.0855
0.4645       0.0839       0.0832
0.4655       0.0816       0.0809
0.4665       0.0794       0.0787
0.4675       0.0772       0.0765
0.4685       0.0751       0.0744
0.4695       0.0730       0.0724
0.4705       0.0710       0.0704
0.4715       0.0691       0.0684
0.4725       0.0672       0.0665
0.4735       0.0653       0.0647
0.4745       0.0635       0.0629
0.4755       0.0618       0.0612
0.4765       0.0601       0.0596
0.4775       0.0585       0.0580
0.4785       0.0570       0.0565
0.4795       0.0555       0.0550
0.4805       0.0541       0.0536
0.4815       0.0527       0.0523
0.4825       0.0514       0.0510
0.4835       0.0502       0.0498
0.4845       0.0490       0.0487
0.4855       0.0479       0.0476
0.4865       0.0469       0.0466
0.4875       0.0460       0.0457
0.4885       0.0451       0.0448
0.4895       0.0443       0.0440
0.4905       0.0435       0.0433
0.4915       0.0428       0.0426
0.4925       0.0422       0.0420
0.4935       0.0417       0.0415
0.4945       0.0412       0.0411
0.4955       0.0409       0.0407
0.4965       0.0405       0.0404
0.4975       0.0403       0.0402
0.4985       0.0401       0.0401
0.4995       0.0400       0.0400
0.5005       0.0400       0.0400
0.5015       0.0400       0.0401
0.5025       0.0402       0.0402
0.5035       0.0404       0.0404
0.5045       0.0406       0.0407
0.5055       0.0410       0.0411
0.5065       0.0414       0.0415
0.5075       0.0419       0.0420
0.5085       0.0424       0.0426
0.5095       0.0430       0.0433
0.5105       0.0437       0.0440
0.5115       0.0445       0.0448
0.5125       0.0453       0.0457
0.5135       0.0462       0.0466
0.5145       0.0472       0.0476
0.5155       0.0483       0.0487
0.5165       0.0494       0.0498
0.5175       0.0506       0.0510
0.5185       0.0518       0.0523
0.5195       0.0531       0.0536
0.5205       0.0545       0.0550
0.5215       0.0559       0.0565
0.5225       0.0574       0.0580
0.5235       0.0590       0.0596
0.5245       0.0606       0.0612
0.5255       0.0623       0.0629
0.5265       0.0641       0.0647
0.5275       0.0659       0.0665
0.5285       0.0677       0.0684
0.5295       0.0697       0.0704
0.5305       0.0716       0.0724
0.5315       0.0737       0.0744
0.5325       0.0757       0.0765
0.5335       0.0779       0.0787
0.5345       0.0801       0.0809
0.5355       0.0823       0.0832
0.5365       0.0846       0.0855
0.5375       0.0869       0.0878
0.5385       0.0893       0.0902
0.5395       0.0917       0.0927
0.5405       0.0942       0.0952
0.5415       0.0967       0.0977
0.5425       0.0993       0.1003
0.5435       0.1019       0.1029
0.5445       0.1045       0.1055
0.5455       0.1072       0.1082
0.5465       0.1099       0.1109
0.5475       0.1127       0.1137
0.5485       0.1154       0.1165
0.5495       0.1183       0.1193
0.5506       0.1211       0.1222
0.5516       0.1240       0.1251
0.5526       0.1269       0.1280
0.5536       0.1298       0.1309
0.5546       0.1328       0.1339
0.5556       0.1358       0.1369
0.5566       0.1388       0.1399
0.5576       0.1418       0.1430
0.5586       0.1449       0.1461
0.5596       0.1480       0.1491
0.5606       0.1511       0.1523
0.5616       0.1542       0.1554
0.5626       0.1573       0.1585
0.5636       0.1605       0.1617
0.5646       0.1636       0.1649
0.5656       0.1668       0.1680
0.5666       0.1700       0.1712
0.5676       0.1732       0.1745
0.5686       0.1764       0.1777
0.5696       0.1796       0.1809
0.5706       0.1829       0.1842
0.5716       0.1861       0.1874
0.5726       0.1894       0.1907
0.5736       0.1926       0.1939
0.5746       0.1959       0.1972
0.5756       0.1992       0.2005
0.5766       0.2024       0.2037
0.5776       0.2057       0.2070
0.5786       0.2090       0.2103
0.5796       0.2122       0.2135
0.5806       0.2155       0.2168
0.5816       0.2188       0.2201
0.5826       0.2220       0.2234
0.5836       0.2253       0.2266
0.5846       0.2286       0.2299
0.5856       0.2318       0.2331
0.5866       0.2351       0.2364
0.5876       0.2383       0.2396
0.5886       0.2416       0.2429
0.5896       0.2448       0.2461
0.5906       0.2480       0.2493
0.5916       0.2512       0.2525
0.5926       0.2544       0.2557
0.5936       0.2576       0.2589
0.5946       0.2608       0.2621
0.5956       0.2640       0.2653
0.5966       0.2672       0.2685
0.5976       0.2703       0.2716
0.5986       0.2734       0.2747
0.5996       0.2766       0.2779
0.6006       0.2797       0.2810
0.6016       0.2828       0.2841
0.6026       0.2859       0.2871
0.6036       0.2889       0.2902
0.6046       0.2920       0.2932
0.6056       0.2950       0.2963
0.6066       0.2980       0.2993
0.6076       0.3010       0.3023
0.6086       0.3040       0.3053
0.6096       0.3070       0.3082
0.6106       0.3099       0.3112
0.6116       0.3129       0.3141
0.6126       0.3158       0.3170
0.6136       0.3187       0.3199
0.6146       0.3216       0.3228
0.6156       0.3244       0.3256
0.6166       0.3272       0.3284
0.6176       0.3301       0.3313
0.6186       0.3329       0.3340
0.6196       0.3356       0.3368
0.6206       0.3384       0.3396
0.6216       0.3411       0.3423
0.6226       0.3438       0.3450
0.6236       0.3465       0.3477
0.6246       0.3492       0.3504
0.6256       0.3519       0.3530
0.6266       0.3545       0.3556
0.6276       0.3571       0.3582
0.6286       0.3597       0.3608
0.6296       0.3622       0.3634
0.6306       0.3648       0.3659
0.6316       0.3673       0.3684
0.6326       0.3698       0.3709
0.6336       0.3723       0.3734
0.6346       0.3747       0.3758
0.6356       0.3772       0.3782
0.6366       0.3796       0.3806
0.6376       0.3820       0.3830
0.6386       0.3843       0.3853
0.6396       0.3867       0.3877
0.6406       0.3890       0.3900
0.6416       0.3913       0.3923
0.6426       0.3935       0.3945
0.6436       0.3958       0.3968
0.6446       0.3980       0.3990
0.6456       0.4002       0.4012
0.6466       0.4024       0.4033
0.6476       0.4045       0.4055
0.6486       0.4067       0.4076
0.6496       0.4088       0.4097
0.6507       0.4109       0.4118
0.6517       0.4129       0.4138
0.6527       0.4150       0.4159
0.6537       0.4170       0.4179
0.6547       0.4190       0.4199
0.6557       0.4209       0.4218
0.6567       0.4229       0.4238
0.6577       0.4248       0.4257
0.6587       0.4267       0.4276
0.6597       0.4286       0.4294
0.6607       0.4304       0.4313
0.6617       0.4323       0.4331
0.6627       0.4341       0.4349
0.6637       0.4359       0.4367
0.6647       0.4376       0.4384
0.6657       0.4394       0.4402
0.6667       0.4411       0.4419
0.6677       0.4428       0.4435
0.6687       0.4444       0.4452
0.6697       0.4461       0.4468
0.6707       0.4477       0.4485
0.6717       0.4493       0.4501
0.6727       0.4509       0.4516
0.6737       0.4525       0.4532
0.6747       0.4540       0.4547
0.6757       0.4555       0.4562
0.6767       0.4570       0.4577
0.6777       0.4585       0.4592
0.6787       0.4599       0.4606
0.6797       0.4614       0.4620
0.6807       0.4628       0.4634
0.6817       0.4642       0.4648
0.6827       0.4655       0.4661
0.6837       0.4669       0.4675
0.6847       0.4682       0.4688
0.6857       0.4695       0.4701
0.6867       0.4707       0.4713
0.6877       0.4720       0.4726
0.6887       0.4732       0.4738
0.6897       0.4744       0.4750
0.6907       0.4756       0.4762
0.6917       0.4768       0.4774
0.6927       0.4780       0.4785
0.6937       0.4791       0.4796
0.6947       0.4802       0.4807
0.6957       0.4813       0.4818
0.6967       0.4823       0.4828
0.6977       0.4834       0.4839
0.6987       0.4844       0.4849
0.6997       0.4854       0.4859
0.7007       0.4864       0.4868
0.7017       0.4873       0.4878
0.7027       0.4883       0.4887
0.7037       0.4892       0.4896
0.7047       0.4901       0.4905
0.7057       0.4910       0.4914
0.7067       0.4918       0.4923
0.7077       0.4927       0.4931
0.7087       0.4935       0.4939
0.7097       0.4943       0.4947
0.7107       0.4951       0.4954
0.7117       0.4958       0.4962
0.7127       0.4966       0.4969
0.7137       0.4973       0.4976
0.7147       0.4980       0.4983
0.7157       0.4987       0.4990
0.7167       0.4993       0.4996
0.7177       0.5000       0.5003
0.7187       0.5006       0.5009
0.7197       0.5012       0.5015
0.7207       0.5018       0.5020
0.7217       0.5023       0.5026
0.7227       0.5029       0.5031
0.7237       0.5034       0.5036
0.7247       0.5039       0.5041
0.7257       0.5044       0.5046
0.7267       0.5048       0.5051
0.7277       0.5053       0.5055
0.7287       0.5057       0.5059
0.7297       0.5061       0.5063
0.7307       0.5065       0.5067
0.7317       0.5069       0.5070
0.7327       0.5072       0.5074
0.7337       0.5075       0.5077
0.7347       0.5078       0.5080
0.7357       0.5081       0.5083
0.7367       0.5084       0.5085
0.7377       0.5087       0.5088
0.7387       0.5089       0.5090
0.7397       0.5091       0.5092
0.7407       0.5093       0.5094
0.7417       0.5095       0.5096
0.7427       0.5096       0.5097
0.7437       0.5098       0.5098
0.7447       0.5099       0.5099
0.7457       0.5100       0.5100
0.7467       0.5101       0.5101
0.7477       0.5101       0.5102
0.7487       0.5102       0.5102
0.7497       0.5102       0.5102
0.7508       0.5102       0.5102
0.7518       0.5102       0.5102
0.7528       0.5102       0.5101
0.7538       0.5101       0.5101
0.7548       0.5100       0.5100
0.7558       0.5099       0.5099
0.7568       0.5098       0.5098
0.7578       0.5097       0.5096
0.7588       0.5096       0.5095
0.7598       0.5094       0.5093
0.7608       0.5092       0.5091
0.7618       0.5090       0.5089
0.7628       0.5088       0.5087
0.7638       0.5085       0.5084
0.7648       0.5083       0.5081
0.7658       0.5080       0.5078
0.7668       0.5077       0.5075
0.7678       0.5074       0.5072
0.7688       0.5070       0.5069
0.7698       0.5067       0.5065
0.7708       0.5063       0.5061
0.7718       0.5059       0.5057
0.7728       0.5055       0.5053
0.7738       0.5051       0.5048
0.7748       0.5046       0.5044
0.7758       0.5041       0.5039
0.7768       0.5037       0.5034
0.7778       0.5031       0.5029
0.7788       0.5026       0.5023
0.7798       0.5021       0.5018
0.7808       0.5015       0.5012
0.7818       0.5009       0.5006
0.7828       0.5003       0.5000
0.7838       0.4997       0.4993
0.7848       0.4990       0.4987
0.7858       0.4984       0.4980
0.7868       0.4977       0.4973
0.7878       0.4970       0.4966
0.7888       0.4962       0.4958
0.7898       0.4955       0.4951
0.7908       0.4947       0.4943
0.7918       0.4939       0.4935
0.7928       0.4931       0.4927
0.7938       0.4923       0.4918
0.7948       0.4914       0.4910
0.7958       0.4906       0.4901
0.7968       0.4897       0.4892
0.7978       0.4888       0.4883
0.7988       0.4879       0.4873
0.7998       0.4869       0.4864
0.8008       0.4859       0.4854
0.8018       0.4849       0.4844
0.8028       0.4839       0.4834
0.8038       0.4829       0.4823
0.8048       0.4818       0.4812
0.8058       0.4808       0.4802
0.8068       0.4797       0.4791
0.8078       0.4786       0.4779
0.8088       0.4774       0.4768
0.8098       0.4763       0.4756
0.8108       0.4751       0.4744
0.8118       0.4739       0.4732
0.8128       0.4727       0.4720
0.8138       0.4714       0.4707
0.8148       0.4702       0.4694
0.8158       0.4689       0.4681
0.8168       0.4676       0.4668
0.8178       0.4662       0.4655
0.8188       0.4649       0.4641
0.8198       0.4635       0.4627
0.8208       0.4621       0.4613
0.8218       0.4607       0.4599
0.8228       0.4593       0.4584
0.8238       0.4578       0.4570
0.8248       0.4563       0.4555
0.8258       0.4548       0.4540
0.8268       0.4533       0.4524
0.8278       0.4517       0.4509
0.8288       0.4502       0.4493
0.8298       0.4486       0.4477
0.8308       0.4470       0.4460
0.8318       0.4453       0.4444
0.8328       0.4437       0.4427
